OID_	IDENT	NAME	UPPER_DESC	UPPER_VAL	UPPER_UOM	UPPER_CODE	LOWER_DESC	LOWER_VAL	LOWER_UOM	LOWER_CODE	TYPE_CODE	LOCAL_TYPE	CLASS	MIL_CODE	COMM_NAME	LEVEL	SECTOR	ONSHORE	EXCLUSION	WKHR_CODE	WKHR_RMK	DST	GMTOFFSET	SHAPE_Leng	SHAPE_Area	AirCheck
4886	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	0	FT	SFC	CLASS	CLASS_B	B	CIV	 	L	AREA A	1	0	H24	 	 	 	0.652064672	0.02817622	Fail
4887	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	1900	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA B	1	0	H24	 	 	 	1.041790958	0.083816896	Pass
4888	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	3000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA C	1	0	H24	 	 	 	1.838465452	0.261026693	Pass
4889	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	4000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA D	1	0	H24	 	 	 	2.450751006	0.463842624	Pass
4890	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	5000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA E	1	0	H24	 	 	 	0.924417792	0.049128321	Pass
4891	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	5000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA F	1	0	H24	 	 	 	0.639334854	0.023206815	Pass
4892	CLE	CLEVELAND CLASS B	TI	8000	FT	MSL	 	6000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA G	1	0	H24	 	 	 	0.706375282	0.027943476	Pass
4893	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	0	FT	SFC	CLASS	CLASS_B	B	CIV	 	L	AREA A	1	0	H24	 	 	 	0.867889734	0.02034838	Fail
4894	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	0	FT	SFC	CLASS	CLASS_B	B	CIV	 	L	AREA A	1	0	H24	 	 	 	0.401658065	0.0043085	Fail
4895	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	600	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA B	1	0	H24	 	 	 	0.531998052	0.011963075	Pass
4896	 	CLARKSBURG CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.070905598	0.089120081	Pass
4897	 	CLARK CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.824933862	0.051860016	Pass
4898	 	CLOVERDALE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.537367606	0.017942383	Pass
4899	 	DEFUNIAK SPRINGS CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.72564163	0.041566418	Pass
4900	 	EUFAULA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.833590198	0.054771691	Pass
4901	 	HIGHMORE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.821817247	0.051547838	Pass
4902	 	PASCO CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.916148566	0.182685021	Pass
4903	 	AURORA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.58163428	0.081162636	Pass
4904	 	PASCO CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	5.866666666	2.070833333	Pass
4905	 	TRIBUNE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.776696913	0.046981284	Pass
4906	 	CHEHALIS CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.658733075	0.023629561	Pass
4907	 	DYERSBURG CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.832656553	0.054290937	Pass
4908	 	GREENVILLE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	2.010696872	0.196035209	Pass
4909	 	HEADLAND CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.796563034	0.050051137	Pass
4910	 	KELSO CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.234403122	0.097078039	Pass
